name,hex,r,g,b,h,s,v,l,a,b
amber,#ffbf00,255,191,0,45,100,100,81.02792148118404,10.386126365583504,83.035714705514
american rose,#ff033e,255,3,62,346,99,100,53.678239212364744,80.9296882994418,41.89108765748588
americano,#87756e,135,117,110,17,19,53,50.68634647469598,5.7686905974271845,6.425598745444905
amethyst,#9966cc,153,102,204,270,50,80,52.54733429606691,40.31952152925006,-45.411261692241546
amethyst smoke,#a397b4,163,151,180,265,16,71,64.33464790873325,10.083912709062226,-13.471398711546723
amour,#f9eaf3,249,234,243,324,6,98,94.07945047578193,6.612875654989525,-2.5352156240183277
amulet,#7b9f80,123,159,128,128,23,62,62.13932054365361,-18.759484829556527,12.201684533187507
anakiwa,#9de5ff,157,229,255,196,38,100,87.20573062601304,-15.996385705108363,-19.678173344177186
android green,#a4c639,164,198,57,74,71,78,75.18684027909528,-30.47297282816569,63.12930433019375
anti flash white,#f2f3f4,242,243,244,210,1,96,95.79317991911022,-0.14914546644650972,-0.6072114072164014
antique brass,#cd9575,205,149,117,22,43,80,66.33489650540463,17.082507918611878,25.18890604889601
antique bronze,#665d1e,102,93,30,52,71,40,39.15141969323164,-4.641465483666174,36.08885537094114
antique fuchsia,#915c83,145,92,131,316,37,57,46.059582094972214,27.905632580128128,-12.790427142278492
antique ruby,#841b2d,132,27,45,350,80,52,29.104761000749477,44.58841435207692,16.892774971557923
antique white,#faebd7,250,235,215,34,14,98,93.73077088204487,1.8427318819214111,11.516868127356773
anzac,#e0b646,224,182,70,44,69,88,75.91271484720642,3.577340240475624,60.40375095429235
ao,#008000,0,128,0,120,100,50,46.22881784262658,-51.69964732808236,49.89795230983843
apache,#dfbe6f,223,190,111,42,50,87,78.264575515075,1.8751973559743007,43.98422965838671
apple,#4fa83d,79,168,61,110,64,66,61.65806169275346,-47.23270567043364,45.96007784428377
apple blossom,#af4d43,175,77,67,6,62,69,45.396278587394534,39.28417589065969,25.556377207125514
apple green,#8db600,141,182,0,74,100,71,68.83710125246533,-34.12729212857507,69.7845789136456
apricot,#fbceb1,251,206,177,24,29,98,85.91945261117658,11.775107461686197,20.39256807381731
apricot white,#fffeec,255,254,236,57,7,100,99.29968422054651,-2.7014494137634903,8.712388865344977
aqua deep,#014b43,1,75,67,174,99,29,27.963625354972855,-22.49381687543714,-1.037988689055469
aqua forest,#5fa777,95,167,119,140,43,65,62.845732513316676,-33.47334015567388,17.942385619923805
aqua haze,#edf5f5,237,245,245,180,3,96,95.9560669513516,-2.631312762498339,-0.929375300687374
aqua island,#a1dad7,161,218,215,177,26,85,83.24529852516199,-18.75070591046879,-4.439388799523192
aqua spring,#eaf9f5,234,249,245,164,6,98,96.75337352100198,-5.630823725018496,0.2103807191150997
aqua squeeze,#e8f5f2,232,245,242,166,5,96,95.52666218207489,-4.812332869627678,-0.04819059495217992
aquamarine,#7fffd4,127,255,212,160,50,100,92.03615371984776,-45.52073061551781,9.711681469210287
aquamarine blue,#71d9e2,113,217,226,185,50,89,81.08635917049384,-27.769019545869412,-13.7378519951578
arapawa,#110c6c,17,12,108,243,89,42,12.382663563866451,36.885087012790336,-52.74530596896483
arctic lime,#d0ff14,208,255,20,72,92,100,93.8746704894344,-40.202259390284766,88.97129413585733
armadillo,#433e37,67,62,55,35,18,26,26.48941843865378,0.7288041173921789,5.076302886064532
army green,#4b5320,75,83,32,69,61,33,33.534555173792334,-11.636909563358111,28.2598785141276
arrowtown,#948771,148,135,113,38,24,58,56.895798766929474,1.1960911278555697,13.61654461496764
arsenic,#3b444b,59,68,75,206,21,29,28.306048269622956,-1.8853938876364218,-5.4527966017740575
artichoke,#8f9779,143,151,121,76,20,59,61.09220433778424,-8.363268124708112,14.864085296582118
arylide yellow,#e9d66b,233,214,107,51,54,91,85.23980774382127,-6.73567605068931,54.47594283733248
ash,#c6c3b5,198,195,181,49,9,78,78.67825115976606,-1.4126683565457987,7.394808605727876
ash grey,#b2beb5,178,190,181,135,6,75,75.84041291712849,-5.837049587504084,3.107222956402955
asparagus,#87a96b,135,169,107,93,37,66,65.42692066725425,-22.971280981148258,28.293181049319216
asphalt,#130a06,19,10,6,18,68,7,3.3302419311889757,2.4395727183273848,2.568578515612119
astra,#faeab9,250,234,185,45,26,98,92.8708284091465,-1.9460588617308816,25.800535226234402
astral,#327da0,50,125,160,199,69,63,49.354385683931625,-11.533525002061007,-25.512949736130118
astronaut,#283a77,40,58,119,226,66,47,26.183932197831083,14.088490582359281,-37.196662085078515
astronaut blue,#013e62,1,62,98,202,99,38,24.744818319282423,-2.5841659788297666,-26.127504941797064
athens gray,#eef0f3,238,240,243,216,2,95,94.72485559926666,-0.12165432645849794,-1.6875361541593747
aths special,#ecebce,236,235,206,58,13,93,92.44483704272297,-4.492936306237483,14.206181237917281
atlantis,#97cd2d,151,205,45,80,78,80,76.33330293157094,-39.37592615618696,67.86464254756767
atoll,#0a6f75,10,111,117,183,91,46,42.33486983323279,-23.373803981114467,-10.808893514265105
au chico,#97605d,151,96,93,3,38,59,46.625363990729845,22.01168929704239,11.042282912756008
aubergine,#3b0910,59,9,16,352,85,23,10.278487979180841,24.650576033956,9.003962309419606
auburn,#a52a2a,165,42,42,0,75,65,37.521829744034335,49.699782879003926,30.540267189480907
aureolin,#fdee00,253,238,0,56,100,99,92.58885613347921,-14.206261112381712,91.10096152226888
auro metal saurus,#6e7f80,110,127,128,183,14,50,51.896238672852704,-5.971371123746461,-2.646904759188118
australian mint,#f5ffbe,245,255,190,69,25,100,97.89337826701212,-13.56196138796567,30.042067687839392
avocado,#568203,86,130,3,81,98,51,49.43573667783642,-32.359981318993036,52.90750486135715
axolotl,#4e6649,78,102,73,110,28,40,40.57884932542642,-15.171434844755805,13.561196155926314
azalea,#f7c8da,247,200,218,337,19,97,85.07015482383689,19.442280773306454,-2.6213525304533247
aztec,#0d1c19,13,28,25,168,54,11,8.876457096662026,-7.263125641378432,0.04908380015553604
aztec gold,#c39953,195,153,83,38,57,76,65.75575030662603,7.544102768699212,42.294018910847996
azure,#007fff,0,127,255,210,100,100,54.44754715922328,19.4140731865301,-71.3636778376597
azure mist,#f0ffff,240,255,255,180,6,100,98.93278063011066,-4.8751827020712675,-1.6983367236276026
azureish white,#dbe9f4,219,233,244,206,10,96,91.62629771037356,-2.5235756461020054,-6.924800160870492
baby blue,#89cff0,137,207,240,199,43,94,79.74753841069568,-13.546546797912118,-23.1307912031697
baby blue eyes,#a1caf1,161,202,241,209,33,95,79.70990546566279,-4.40326944211189,-23.60427231761353
baby powder,#fefefa,254,254,250,60,2,100,99.5561817784475,-0.6901499948042678,1.8973506551412944
bahama blue,#026395,2,99,149,200,99,58,39.75928889551772,-4.995966276969938,-34.08485234358331
bahia,#a5cb0c,165,203,12,72,94,80,76.51987865792815,-33.90960232030604,75.07727805090462
baja white,#fff8d1,255,248,209,51,18,100,97.22689178388121,-3.8511552548092243,19.597522483187156
baker miller pink,#ff91af,255,145,175,344,43,100,72.63166310143234,44.73742952063275,2.685804411192527
bali hai,#859faf,133,159,175,203,24,69,64.0619748193873,-5.3867872557309955,-11.303308534668144
ball blue,#21abcd,33,171,205,192,84,80,64.84885096078094,-23.04182071294658,-27.184114685565962
baltic sea,#2a2630,42,38,48,264,21,19,15.96215383445847,4.325159424601516,-5.865210336404248
bamboo,#da6304,218,99,4,27,98,85,55.92510202232029,42.80397404361974,63.90036992987878
banana mania,#fae7b5,250,231,181,43,28,98,92.04797664895175,-0.949139405740429,26.728350710936954
banana yellow,#ffe135,255,225,53,51,79,100,89.56484132333415,-6.065542621484399,80.37325762138788
bandicoot,#858470,133,132,112,57,16,52,54.71926873592278,-3.2804891230260314,10.949604309152905
barberry,#ded717,222,215,23,58,90,87,84.06580946622707,-15.726789043619071,81.32673161867334
barbie pink,#e0218a,224,33,138,327,85,88,50.41700602855562,75.05322922091557,-9.212076328272921
barley corn,#a68b5b,166,139,91,38,45,65,59.276301479082775,3.5943888184582495,29.4281886554004
barley white,#fff4ce,255,244,206,47,19,100,96.16972246531326,-2.2759935422711486,19.655914522793317
barn red,#7c0a02,124,10,2,4,98,49,25.27997557525218,45.06411541349978,36.67926226486223
barossa,#44012d,68,1,45,321,99,27,12.222157515296768,34.0224301162837,-9.003250955995156
bastille,#292130,41,33,48,272,31,19,14.245158244210202,7.482815436648055,-8.483418324352499
battleship gray,#828f72,130,143,114,87,20,56,57.66082975778963,-10.20345109139914,13.885278605944151
bay leaf,#7da98d,125,169,141,142,26,66,65.48230634300691,-20.70437754942106,9.708512270814307
bay of many,#273a81,39,58,129,227,70,51,26.85529640954779,17.75986593083556,-42.4112692859984
bazaar,#98777b,152,119,123,353,22,60,53.27531181612929,13.522154604812876,2.7399643331229573
bdazzled blue,#2e5894,46,88,148,215,69,58,37.29561349474714,6.018732082190753,-37.326511430013824
beau blue,#bcd4e6,188,212,230,206,18,90,83.70031440778298,-4.270695016843684,-11.555395178369409
beauty bush,#eec1be,238,193,190,4,20,93,81.85708830117733,15.587794801001753,7.577709971526803
beaver,#9f8170,159,129,112,22,30,62,56.32857735341858,8.90944540238725,13.559898639315215
beeswax,#fef2c7,254,242,199,47,22,100,95.45432667716109,-2.6191613606620368,22.2351082727577
beige,#f5f5dc,245,245,220,60,10,96,95.9488798865349,-4.189085125627601,12.039919825248301
belgion,#add8ff,173,216,255,209,32,100,84.59490286961935,-5.063628114603813,-23.551306831025354
bermuda,#7dd8c6,125,216,198,168,42,85,80.48735322031854,-31.443867519074352,0.3583627088386665
bermuda gray,#6b8ba2,107,139,162,205,34,64,56.287158024669736,-5.438218170288723,-15.81119959331172
beryl green,#dee5c0,222,229,192,71,16,90,89.56788561409269,-8.593621738772317,17.272770595086918
bianca,#fcfbf3,252,251,243,53,4,99,98.49612454140933,-1.0430733053847785,3.933266692869375
big dip oruby,#9c2542,156,37,66,345,76,61,35.56583719662069,50.051274635271284,12.628310300936874
big foot feet,#e88e5a,232,142,90,22,61,91,67.45669527567615,29.384374603621588,41.758285029091844
big stone,#162a40,22,42,64,211,66,25,16.4872351773474,-0.08079352411632934,-16.384960327484432
bilbao,#327c14,50,124,20,103,84,49,45.83068949955689,-41.614224042554106,45.34427155023649
biloba flower,#b2a1ea,178,161,234,254,31,92,70.10245547143145,21.30763447291978,-34.476018503184825
birch,#373021,55,48,33,41,40,22,20.187242359492146,0.3855227111941306,10.776002095114801
bird flower,#d4cd16,212,205,22,58,90,83,80.5815399242957,-15.033946765724393,78.40844357261557
biscay,#1b3162,27,49,98,221,72,38,21.25049020399924,9.728053333899728,-31.65517229105833
bismark,#497183,73,113,131,199,44,51,45.44930960338927,-8.917740915390937,-14.30976276552216
bison hide,#c1b7a4,193,183,164,39,15,76,74.752189019505,0.3252206464492424,10.927411181950198
bisque,#ffe4c4,255,228,196,33,23,100,92.0124490871158,4.434438789171713,19.00326863160735
bistre,#3d2b1f,61,43,31,24,49,24,19.30301948047942,6.470317964103856,11.0727788460747
bitter,#868974,134,137,116,69,15,54,56.307997008660436,-5.005302095789865,10.899600287883437
bitter lemon,#cae00d,202,224,13,66,94,88,84.94381255770219,-28.575516586261063,82.59583215888368
bittersweet,#fe6f5e,254,111,94,6,63,100,64.36110417704167,53.379630867991025,36.5456751725757
bittersweet shimmer,#bf4f51,191,79,81,359,59,75,48.588987574423285,45.201832799941336,21.85735005231407
bizarre,#eededa,238,222,218,12,8,93,89.61812470984987,4.799390129086644,3.916571991930007
black,#000000,0,0,0,0,0,0,0.0,0.0,0.0
black bean,#3d0c02,61,12,2,10,97,24,10.988718367351598,23.23013502065778,16.205700344158913
black coral,#54626f,84,98,111,209,24,44,40.84479867966956,-2.150543846109132,-9.126178763306903
black forest,#0b1304,11,19,4,92,79,7,4.9288845474929275,-5.154630540474922,5.644773547268095
black haze,#f6f7f7,246,247,247,180,0,97,97.15846925809115,-0.3256367736657051,-0.12653197626237844
black leather jacket,#253529,37,53,41,135,30,21,20.43851154393394,-9.638986711574537,5.4717595697378
black marlin,#3e2c1c,62,44,28,28,55,24,19.677084926006565,5.917318013509309,13.600132983545354
black olive,#3b3c36,59,60,54,70,10,24,25.038310728133084,-1.7433028923770633,3.560559787379458
black pearl,#041322,4,19,34,210,88,13,5.483433239311253,-0.2174141350528569,-11.95110994518776
black rock,#0d0332,13,3,50,253,94,20,3.4413581778904323,16.883511960585505,-27.222923417401272
black rose,#67032d,103,3,45,335,97,40,20.588892687618902,42.472406673989326,4.285007793118978
black russian,#0a001c,10,0,28,261,100,11,1.3402165706300586,7.936931515025655,-13.46405030216678
black shadows,#bfafb2,191,175,178,349,8,75,72.8593957992094,6.254708845621182,0.5358348175842798
black squeeze,#f2fafa,242,250,250,180,3,98,97.6926354455842,-2.6214818695773356,-0.9263068755478665
black white,#fffef6,255,254,246,53,4,100,99.53313481721729,-1.0409605393680854,3.9242382409053533
blackberry,#4d0135,77,1,53,319,99,30,14.715575900779008,37.27544448123909,-10.819367854730032
blackcurrant,#32293a,50,41,58,272,29,23,18.22993554019189,8.192788641118526,-9.341321579788275
blanched almond,#ffebcd,255,235,205,36,20,100,93.91948969581235,2.133801912078459,17.01721419751825
blast off bronze,#a57164,165,113,100,12,39,65,52.65237611948396,18.89100162255697,15.516232937217179
blaze orange,#ff6700,255,103,0,24,100,100,62.47427123000318,54.568791461269306,71.42705312942545
bleach white,#fef3d8,254,243,216,43,15,100,96.05061842936907,-0.6538258866686797,14.339375231039075
bleached cedar,#2c2133,44,33,51,277,35,20,14.74682332045662,9.534220170813956,-9.822866420822551
bleu de france,#318ce7,49,140,231,210,79,91,57.24907996901396,4.9227807114252675,-53.5301506997099
blizzard blue,#a3e3ed,163,227,237,188,31,93,86.42432321723713,-17.728811092728225,-11.352310917111952
blond,#faf0be,250,240,190,50,24,98,94.46686034552852,-4.303638265640286,25.42849615161231
blossom,#dcb4bc,220,180,188,348,18,86,76.97427692962152,15.686848733049874,1.386038382003374
blue,#0000ff,0,0,255,240,100,100,32.302586667249486,79.19666178930935,-107.8636810449517
blue bayoux,#496679,73,102,121,204,40,47,41.68851109938228,-5.363364225673878,-14.010213745539769
blue bell,#a2a2d0,162,162,208,240,22,82,68.07667182134949,9.798462539772569,-23.40576365610081
blue chalk,#f1e9ff,241,233,255,262,9,100,93.53668943910037,6.663207271793315,-9.649345830987155
blue charcoal,#010d1a,1,13,26,211,96,10,3.3320822016122555,-0.31610643735313637,-8.972684844271296
blue chill,#0c8990,12,137,144,183,92,56,51.818098267030436,-27.437995606842904,-12.483956100825754
blue diamond,#380474,56,4,116,268,97,45,16.44712085372683,45.2987913030834,-51.09461789064091
blue dianne,#204852,32,72,82,192,61,32,28.250187683323055,-10.71318372536101,-10.244057162238784
blue gem,#2c0e8c,44,14,140,254,90,55,18.983761451866826,47.509734943381176,-62.19687299338261
blue gray,#6699cc,102,153,204,210,50,80,61.62563447911687,-2.8148222106305076,-31.43912376322242
blue green,#0d98ba,13,152,186,192,93,73,58.119735466184366,-20.817356782201312,-26.940533929148636
blue haze,#bfbed8,191,190,216,242,12,85,77.7929463280066,5.428055392555087,-12.862885728288664
blue jeans,#5dadec,93,173,236,206,61,93,68.21945331573741,-6.009647047383549,-38.89122687075521
blue lagoon,#ace5ee,172,229,238,188,28,93,87.47642048210189,-15.995415440490547,-10.259761786452204
blue magenta violet,#553592,85,53,146,261,64,57,30.766422593867624,36.08646013784142,-46.43149908783315
blue marguerite,#7666c6,118,102,198,250,48,78,48.799203778054206,29.609392557901682,-48.14430796860887
blue ribbon,#0066ff,0,102,255,216,100,100,47.90877437027894,35.20939811913104,-82.01227705067602
blue romance,#d2f6de,210,246,222,140,15,96,93.83444329142657,-16.118902022334737,7.659788275414736
blue sapphire,#126180,18,97,128,197,86,50,38.26358432534738,-10.998922715117848,-23.719749214938158
blue smoke,#748881,116,136,129,159,15,53,54.975694207706994,-8.687982582262332,1.3281675513872493
blue stone,#016162,1,97,98,181,99,38,36.813683148896104,-23.261633104089853,-7.511861326310754
blue violet,#8a2be2,138,43,226,271,81,89,42.18810476642369,69.85811353659844,-74.77416881134309
blue whale,#042e4c,4,46,76,205,95,30,17.92586218923256,-0.9518412408763277,-22.373788341395418
blue yonder,#5072a7,80,114,167,217,52,65,47.662448355469564,3.388476309402866,-32.14027617297963
blue zodiac,#13264d,19,38,77,220,75,30,15.801568744088026,7.571574964626682,-26.40974409001995
blueberry,#4f86f7,79,134,247,220,68,97,57.48994517527407,18.043147403743742,-61.958250696294456
bluebonnet,#1c1cf0,28,28,240,240,88,94,32.63184258424922,69.99108839514273,-98.83938490174206
blumine,#18587a,24,88,122,201,80,48,35.16030565892769,-7.216581491943069,-24.871017548754036
blush,#de5d83,222,93,131,342,58,87,57.072488499208674,53.81139327179957,4.693238136583822
bole,#79443b,121,68,59,9,51,47,35.03312666076893,21.769429419647075,15.355791689464349
bombay,#afb1b8,175,177,184,227,5,72,72.24114988377524,0.6485598005296356,-3.8166232497850006
bon jour,#e5e0e1,229,224,225,348,2,90,89.58262517500232,1.8731701435190096,0.10296337151145529
bondi blue,#0095b6,0,149,182,191,100,71,56.95077673770099,-21.1133449545427,-26.485560218975856
bone,#e3dac9,227,218,201,39,11,89,87.33454050017009,0.22778905663900506,9.453645432369306
booger buster,#dde26a,221,226,106,62,53,89,87.39041145350227,-17.645698213745455,57.17783696220202
bordeaux,#5c0120,92,1,32,340,99,36,17.46624880650034,39.07878096279788,8.88665062741903
bossanova,#4e2a5a,78,42,90,285,53,35,23.717062129485207,25.827843576794603,-22.180076037197328
boston blue,#3b91b4,59,145,180,197,67,71,56.56115158966068,-14.541754389258198,-25.87475153067862
boston university red,#cc0000,204,0,0,0,100,80,42.51717251948692,67.71017131244389,56.81589777312727
botticelli,#c7dde5,199,221,229,196,13,90,86.75703937029515,-5.69687877023084,-6.405237620764859
bottle green,#006a4e,0,106,78,164,100,42,39.34048455123528,-33.761657146617466,8.424469088149532
boulder,#7a7a7a,122,122,122,0,0,48,51.22315087944811,0.0030485119172363184,-0.006031646195903129
bouquet,#ae809e,174,128,158,321,26,68,58.88688089039577,22.66227550891553,-9.038690916538172
bourbon,#ba6f1e,186,111,30,31,84,73,53.92257197176875,23.884126866246692,53.64890795966711
boysenberry,#873260,135,50,96,328,63,53,34.552482594925294,41.31579945528679,-8.638892076679783
bracken,#4a2a04,74,42,4,33,95,29,20.520321911860904,11.642036390977356,27.89127844431925
brandeis blue,#0070ff,0,112,255,214,100,100,50.46221619707414,28.868954640475287,-77.83996827449869
brandy,#dec196,222,193,150,36,32,87,79.54064808645893,4.0822978796654645,25.468148545987912
brandy punch,#cd8429,205,132,41,33,80,80,61.34388492781761,20.958940588198804,57.09089809143059
brandy rose,#bb8983,187,137,131,6,30,73,61.73594025352824,18.245066357445882,10.725544572573199
brass,#b5a642,181,166,66,52,64,71,67.6426974229908,-6.7250649226882615,52.161431292906904
breaker bay,#5da19f,93,161,159,178,42,63,61.92943377447125,-22.007305063414805,-5.722455077996602
brick red,#cb4154,203,65,84,352,68,80,48.40736582056192,55.54586595420147,20.186315285837686
bridal heath,#fffaf4,255,250,244,33,4,100,98.49691667017049,0.6378021718801974,3.4483931203999063
bridesmaid,#fef0ec,254,240,236,13,7,100,95.76696778137666,4.039622597396764,3.605684699054046
bright cerulean,#1dacd6,29,172,214,194,86,84,65.45275374927753,-20.80314609176265,-31.23348305648217
bright gray,#3c4151,60,65,81,226,26,32,27.669529046424614,2.0549381979299843,-10.312898182111796
bright green,#66ff00,102,255,0,96,100,100,89.08518273613139,-74.42803208501452,84.82432855359349
bright lavender,#bf94e4,191,148,228,272,35,89,67.91553975149186,31.084093765868737,-34.48396064368276
bright lilac,#d891ef,216,145,239,285,39,94,70.23314092225309,42.48329321745925,-36.72755051994254
bright maroon,#c32148,195,33,72,346,83,76,42.999897393449,62.67895035164178,20.12747924644461
bright navy blue,#1974d2,25,116,210,210,88,82,48.69878786630342,9.734480951606617,-55.422729557918984
bright red,#b10000,177,0,0,0,100,69,36.64419194391496,60.91455040724372,51.042635328496985
bright sun,#fed33c,254,211,60,47,76,100,85.99925051547741,0.8254504727799872,74.98156891585823
bright turquoise,#08e8de,8,232,222,177,97,91,83.46277678644866,-47.45343222770426,-8.268833464269964
bright ube,#d19fe8,209,159,232,281,31,91,72.34716445400565,31.403846539487855,-29.68692530754964
bright yellow,#ffaa1d,255,170,29,37,89,100,76.12947129992854,21.64834140048133,75.464649792082
brilliant azure,#3399ff,51,153,255,210,80,100,62.25889132404923,6.133261278566115,-58.76872230102721
brilliant lavender,#f4bbff,244,187,255,290,27,100,82.91009339883898,31.8258716708793,-25.618006411506755
brilliant rose,#ff55a3,255,85,163,332,67,100,61.998977942335884,70.36159921195429,-6.114095516618323
brink pink,#fb607f,251,96,127,348,62,98,62.004053250718385,61.38656098798767,14.643113933619635
british racing green,#004225,0,66,37,154,100,26,23.77037680882568,-27.17767900821505,12.432103095545965
bronco,#aba196,171,161,150,31,12,67,66.78624056535854,1.696793945598074,7.017513549737675
bronze,#cd7f32,205,127,50,30,76,80,60.23781656606222,24.019966026792126,52.32962262891097
bronze olive,#4e420c,78,66,12,49,85,31,28.228050111314914,-1.3568197746748334,32.42659740938922
bronze yellow,#737000,115,112,0,58,100,45,45.951929244018075,-10.317710280179416,51.83112127542518
bronzetone,#4d400f,77,64,15,47,81,30,27.515459057162815,-0.46721945587893665,30.41498164884605
broom,#ffec13,255,236,19,55,93,100,92.26410051044539,-12.231594706660797,89.33631315711986
brown,#964b00,150,75,0,30,100,59,40.43660215861212,27.50197305101504,50.14704845772216
brown bramble,#592804,89,40,4,25,96,35,22.479557435522807,20.23634391561077,30.731688501349552
brown derby,#492615,73,38,21,20,71,29,19.46117642929135,14.693791181285137,18.268977916339885
brown pod,#401801,64,24,1,22,98,25,14.090330869558745,17.92879759154503,20.90836358721566
brown rust,#af593e,175,89,62,14,65,69,47.76037250996174,32.728044143255474,31.3798035455201
brown sugar,#af6e4d,175,110,77,20,56,69,52.731717972879665,22.361054130575376,29.056495335846954
brown tumbleweed,#37290e,55,41,14,40,75,22,17.598142846088898,2.83479861260566,19.536048901651558
brown yellow,#cc9966,204,153,102,30,50,80,66.96008128980247,12.976235196092423,34.10523342153584
brunswick green,#1b4d3e,27,77,62,162,65,30,29.12956899313444,-20.96393116764536,3.9473409112831925
bubble gum,#ffc1cc,255,193,204,349,24,100,83.84042715969787,23.77154995492614,3.1508768714688884
bubbles,#e7feff,231,254,255,182,9,100,98.07053575374208,-7.243130205616732,-3.0343044139627295
buccaneer,#622f30,98,47,48,359,52,38,26.28300367521019,23.1234775010474,10.020987635974699
bud,#a8ae9c,168,174,156,80,10,68,70.1739851190867,-5.421214400224805,8.508724135766354
bud green,#7bb661,123,182,97,102,47,71,68.40937511743356,-34.93063585959716,37.166714911399936
buddha gold,#c1a004,193,160,4,50,98,76,66.89099432503683,-0.3284359888776067,69.73110337931382
buff,#f0dc82,240,220,130,49,46,94,87.64187809199774,-4.960104555228773,46.51434935237908
bulgarian rose,#480607,72,6,7,359,92,28,12.755471148927828,30.033080216479004,17.004154339107863
bull shot,#864d1e,134,77,30,27,78,53,38.67277538020687,20.092035043903834,36.82784648535578
bunker,#0d1117,13,17,23,216,43,9,4.9529754953226295,-0.0034255177587400043,-4.175908944672596
bunting,#151f4c,21,31,76,229,72,30,13.598230406328476,12.806886889528496,-29.26871737257597
burgundy,#800020,128,0,32,345,100,50,25.843012314771876,48.90480428407529,21.29358216148206
burlywood,#deb887,222,184,135,34,39,87,77.01689872654846,7.052373961934199,30.012511337447645
burnham,#002e20,0,46,32,162,100,18,15.79013966727707,-19.393307098118623,4.8374865817983
burning orange,#ff7034,255,112,52,18,80,100,64.23878771762334,51.356350044208355,57.74686050619382
burning sand,#d99376,217,147,118,18,46,85,67.22234411430084,23.082785569430552,26.06220116746698
burnished brown,#a17a74,161,122,116,8,28,63,54.821244763389004,14.280978301404012,9.164002662736337
burnt maroon,#420303,66,3,3,0,95,26,10.776498648737451,29.116832468818604,15.682985594403725
burnt orange,#cc5500,204,85,0,25,100,80,51.076128147956155,44.16578531193965,60.78002015986711
burnt sienna,#e97451,233,116,81,14,65,91,62.005099646080424,42.58805217686235,40.02033025119872
burnt umber,#8a3324,138,51,36,9,74,54,33.77018124734374,36.191086149950316,28.499947530939274
bush,#0d2e1c,13,46,28,147,72,18,16.121932012694536,-17.291460583200664,8.11687701512785
buttercup,#f3ad16,243,173,22,41,91,95,75.4511749584872,14.88513202018521,75.78652505899032
buttered rum,#a1750d,161,117,13,42,92,63,52.206834460484984,8.90778367791395,55.936891295623056
butterfly bush,#624e9a,98,78,154,256,49,60,38.513422461490855,26.50985618967755,-38.787149012955055
buttermilk,#fff1b5,255,241,181,49,29,100,94.95287833325642,-4.131124020363474,30.738051226508812
